siteIDForayEffort,dateForayEffort,observerForayEffort,numberForayEffort,startTimeForayEffort,endTimeForayEffort,pathDistanceForayEffort
AAROJESFL1,2016-04-21,ZZ,1,07:10,08:45,-99999
AAROJESFL1,2017-04-22,ERF,1,07:30,09:00,2190
ADAMVICFL1,2016-05-17,ZZ,1,07:15,08:30,-99999
ADAMVICFL1,2017-05-08,ERF,1,09:30,11:00,2110
AKREMICMA2,2016-07-17,SMB,1,00:01,00:01,-99999
AKREMICMA2,2017-07-15,ASJ,1,10:40,11:40,2300
ALCACHLPA1,2016-07-19,"BR,SR,JC",1,11:50,05:25,-99999
ALCOKENGA1,2016-06-11,BNT,1,11:15,12:27,487
ALCOKENGA1,2017-04-22,CLG,1,09:46,11:15,1100
ALEXROBPA1,2017-06-02,LY,1,09:00,11:00,99999
ALLERILGA1,2016-04-20,BNT,1,11:45,12:51,723
ALLERILGA1,2017-05-26,CLG,1,09:25,11:00,2500
AMANDRUPA1,2017-06-23,LY,1,09:00,10:30,1883
ANDEBRUPA1,2016-06-18,MW,1,00:01,00:01,-99999
ANDEHALMA1,2016-06-15,SMB,1,00:01,00:01,-99999
ANDRJENFL1,2016-03-29,ZZ,1,07:15,08:15,-99999
ANDRJENFL1,2017-04-03,ERF,1,08:30,10:30,2780
ANDRKENVA1,2016-06-27,JLM,1,11:57,12:43,3240
ANDRKENVA1,2017-07-04,KLW,1,07:52,09:30,3180
ARCADIAMA1,2016-05-07,SBL,1,00:01,00:01,-99999
ARCADIAMA1,2016-08-02,"TMB,SMB",1,00:01,00:01,-99999
ARGEGIONC1,2016-05-11,"KFJ,JIC,EL",1,09:00,10:00,-99999
ARGEGIONC1,2017-05-27,AJB,1,09:15,10:57,0.98
ARGYLESGA1,2016-03-23,"JLD,BNT",1,10:30,11:15,-99999
ARLINESVA1,2016-04-22,"KK,AH,EF,JM",1,00:01,00:01,-99999
ARLINESVA1,2017-04-24,"KLW,JLM,AKW",1,12:15,13:05,2100
ASSMCARMD1,2016-07-08,"KJW,MAR",1,11:47,12:48,2000
ASSMCARMD1,2017-06-21,JLM,1,08:54,10:34,3500
ASTOLAUGA1,2016-05-20,BNT,1,11:30,11:50,78
ASTOLAUGA1,2017-04-20,CLG,1,09:47,11:17,1800
ATHEJIMMA1,2016-06-20,SMB,1,14:25,15:42,-99999
ATHEJIMMA2,2017-07-12,ASJ,1,10:00,11:30,1700
AUSTCLANC1,2016-10-28,NODATA,1,11:30,12:30,150
AUSTCLANC1,2017-06-13,AJB,1,09:09,11:15,1.13
AZARCARPA1,2016-05-29,MW,1,00:01,00:01,-99999
AZARCARPA1,2017-06-09,LY,1,09:30,11:30,99999
BACHMARNC1,2016-06-11,"ELB,LM",1,11:34,12:30,-99999
BACHMARNC1,2017-06-24,AJB,1,06:20,06:40,0.4
BACHMARNC1,2017-06-24,AJB,2,06:59,08:20,1.37
BAERMIKPA1,2016-06-04,MW,1,12:00,13:00,1230
BAILEESVA1,2016-05-02,"JLM,KPK,ERF,AEH",1,13:00,17:00,2660
BAILEESVA1,2016-05-09,KPK,1,00:01,00:01,-99999
BAILEESVA1,2016-05-11,"JLM,KPK,ERF,AEH",1,00:01,00:01,-99999
BAILEESVA1,2016-05-20,"JLM,KPK,AEH,ERF",1,12:45,15:20,3120
BAILEESVA1,2017-05-01,"KLW,AKW,JLM",1,12:06,13:23,2005
BAILEESVA1,2017-05-15,"KLW,AKW,JLM",1,12:00,13:37,2043
BAILEESVA1,2017-05-23,"KLW,AKW",1,12:14,13:32,2060
BAILPATNC1,2016-06-29,NODATA,1,11:37,12:35,-99999
BAILPATNC1,2017-05-01,AJB,1,09:15,11:20,1.11
BAINANDMD1,2016-06-13,JLM,1,07:10,08:30,2840
BAKENANMA1,2016-06-07,SMB,1,12:57,14:00,2124
BAKENANMA1,2017-05-31,ASJ,1,11:35,12:35,1400
BALASUCMD1,2016-06-27,JLM,1,11:25,12:02,-99999
BALASUCMD1,2017-05-31,"AKW,KLW",1,09:43,10:47,1800
BALDARTPA1,2016-06-25,MW,1,00:01,00:01,-99999
BANCRESDC1,2016-05-03,JLM,1,23:30,12:00,6400
BANDCATFL1,2016-03-28,ZZ,1,07:20,09:00,-99999
BANDCATFL1,2017-04-07,ERF,1,09:40,11:10,2510
BARBJERMD1,2016-06-03,"JLM,KPK",1,11:25,11:44,784
BARBJERMD1,2017-06-20,JLM,1,09:37,10:20,1490
BAUGSHEVA1,2016-07-18,JLM,1,10:14,10:54,480
BAUGSHEVA1,2017-07-04,KLW,1,09:47,11:14,3160
BEALTOMMD1,2016-05-02,JLM,1,11:20,12:30,2400
BEALTOMMD1,2017-06-26,AKW,1,10:05,11:49,2650
BEARJUSGA1,2016-04-14,JLD,1,11:25,00:35,-99999
BEARKARNC1,2016-05-09,"KFJ,JIC",1,09:30,10:10,-99999
BEARKARNC1,2017-05-24,AJB,1,09:12,11:40,1.73
BECIBARPA1,2016-07-31,"BR,NB,RP,SR,JR",1,00:01,00:01,-99999
BEEGERLNC1,2016-06-25,AJB,1,00:01,00:01,-99999
BELMNIKGA1,2016-06-14,JLD,1,11:02,11:56,1823
BELMNIKGA1,2017-04-18,CLG,1,10:01,11:31,1800
BENNBILMA1,2016-06-02,"SMB,BB",1,12:55,12:26,2670
BENNBILMA1,2017-05-25,JLK,1,10:15,12:02,3760
BERASHEPA1,2016-06-28,"BJR,RF",1,00:01,00:01,-99999
BERASHEPA1,2017-05-19,LY,1,10:00,11:00,99999
BERGANDPA1,2016-07-21,BR,1,00:01,00:01,-99999
BERNJUNPA1,2016-07-28,MW,1,00:01,00:01,-99999
BERNJUNPA1,2017-07-06,LY,1,09:30,11:00,692
BERNKENPA1,2016-06-14,MW,1,12:30,12:55,631
BILLPAIDC1,2016-07-13,"KJW,MAR",1,11:00,11:50,2650
BILLPAIDC1,2017-05-26,"AKW,KLW",1,10:20,11:17,2310
BINKJAMGA1,2016-05-05,JLD,1,11:42,12:34,-99999
BIREROYPA1,2017-07-04,KC,1,09:00,10:30,99999
BLANBETMD1,2016-06-30,KPK,1,11:24,12:32,2700
BLANBETMD1,2017-07-20,JLM,1,06:00,07:40,99999
BLOCDAVMD1,2016-06-16,"KPK,EAB",1,11:19,12:34,1830
BLOCDAVMD1,2017-07-14,AKW,1,10:00,11:23,1860
BLONDAVMA1,2016-07-13,SMB,1,12:19,13:35,3170
BLOOLEEFL1,2016-04-08,ZZ,1,07:00,08:30,-99999
BLOOLEEFL1,2017-03-31,ERF,1,09:40,11:10,1670
BLUEHPKGA1,2016-04-15,BNT,1,12:48,14:00,0
BLUEHPKGA1,2017-05-31,CLG,1,09:40,11:20,1600
BOBAMICNC1,2016-05-30,"KFJ,JIC,EL",1,09:30,10:30,-99999
BOBAMICNC1,2017-06-03,AJB,1,09:17,11:30,1.41
BODKANNMA1,2016-06-28,NODATA,1,13:05,14:00,2030
BODKANNMA1,2017-06-09,ASJ,1,10:13,11:20,1300
BOONGREMD1,2016-07-19,JLM,1,12:10,13:04,1660
BOONGREMD1,2017-06-27,"KLW,AKW",1,09:20,10:35,2450
BOONGREMD2,2016-07-19,JLM,1,00:01,00:01,-99999
BOONGREMD2,2017-07-07,"KLW,AKW",1,09:38,10:11,1410
BOSAJOEPA1,2016-07-07,"BR,SR",1,12:00,12:30,-99999
BOSCJOEDC1,2016-06-28,JLM,1,11:03,12:14,3860
BOSCJOEDC1,2017-06-14,JLM,1,08:52,11:00,4540
BOUDLYNMA1,2016-06-01,SMB,1,12:33,14:09,2750
BOUDLYNMA1,2017-06-16,JLK,1,12:03,11:05,1640
BOUGROBFL1,2016-04-19,ZZ,1,07:05,08:45,-99999
BOWEJOHMA1,2016-07-21,SMB,1,00:01,00:01,-99999
BOWEJOHMA1,2017-07-18,ASJ,1,10:56,12:11,2000
BOYLCOLMA1,2016-06-04,SMB,1,00:01,00:01,-99999
BOYLCOLMA1,2017-06-03,ASJ,1,10:32,11:47,2400
BOZESARPA1,2016-06-28,MW,1,00:01,00:01,-99999
BRADVALGA1,2016-04-09,JLD,1,00:01,00:01,-99999
BRADVALGA1,2017-03-25,"CLG,SAM BRADFORD,STEVE",1,10:41,12:16,1700
BRAXBOBGA1,2016-05-18,JLD,1,11:13,12:09,1678
BRAXBOBGA1,2017-03-27,CLG,1,10:24,12:00,2300
BREMSARFL1,2016-05-01,ZZ,1,07:25,08:30,-99999
BREMSARFL1,2017-04-06,ERF,1,08:30,10:30,2780
BRENSTEMD1,2016-07-21,KPK,1,10:40,11:30,1160
BRENTESDC1,2016-06-06,"KPK,ERF,JLM,AEH",1,12:08,13:36,4920
BRENTESDC1,2017-06-05,AKW,1,12:10,12:36,1510
BRENTESDC1,2017-06-05,JLM,2,12:10,12:16,30
BRENTESDC1,2017-06-05,KLW,3,12:10,12:46,1500
BRIDNATMA1,2016-06-22,SMB,1,00:01,00:01,-99999
BRIDNATMA1,2017-08-10,ASJ,1,08:21,09:21,2000
BRIGKIMMD1,2016-06-16,JLM,1,11:40,12:44,2010
BRIGKIMMD1,2017-07-20,JLM,1,07:50,08:50,99999
BROANANNC1,2016-06-08,AJB,1,12:15,13:09,-99999
BROANANNC1,2017-06-21,AJB,1,06:30,06:50,0.19
BROANANNC1,2017-06-21,AJB,2,07:20,08:15,0.59
BROANANNC1,2017-06-21,AJB,3,09:07,10:00,0.63
BRODDORMA1,2016-06-14,SMB,1,12:26,14:30,5420
BROWANNDC1,2016-04-28,ERF,1,00:01,00:01,-99999
BROWANNDC1,2016-07-02,JLM,1,11:15,11:31,1180
BROWANNDC1,2017-06-13,JLM,1,09:20,10:00,1920
BROWANNMD1,2016-04-28,"ERF,AEH",1,00:01,00:01,-99999
BROWANNMD1,2016-06-17,"KPK,AEH",1,11:30,13:10,1800
BROWANNMD1,2017-06-12,JLM,1,09:45,10:30,1620
BRUNKIMPA1,2016-07-08,"BJR,RM,SR",1,12:00,12:45,-99999
BRYAANGFL1,2016-06-15,ZZ,1,06:50,07:15,-99999
BRYAANGFL1,2017-04-08,ERF,1,09:30,11:00,2590
BUCKLMSMD1,2016-05-24,"JLM,KPK,AEH,ERF",1,11:20,11:45,2912
BUDNNORNC1,2016-06-12,ELB,1,11:30,12:24,-99999
BUDNNORNC1,2016-10-28,ELB,1,11:30,12:24,-99999
BUDNNORNC1,2017-06-17,AJB,1,09:30,11:37,0.89
BUISNORVA1,2016-05-17,"ERF,DN",1,00:01,00:01,-99999
BUISNORVA1,2016-07-05,JLM,1,11:30,12:16,1440
BUISNORVA1,2017-06-15,JLM,1,09:50,11:10,2030
